State,City,Store,Price,Rating,Review Count,Location,Full Address,latitude,longitude
New York,New York City,Boba Guys,$,4.5,670,23 Clinton St,23 Clinton St New York City ,40.7206127,-73.9845193
New York,New York City,Tea and Milk,$,4.5,410,32-02 34th Ave,32-02 34th Ave New York City ,40.7590794,-73.9262574
New York,New York City,Hanco's,$,4,688,134 Smith St,134 Smith St New York City ,40.6872287,-73.9903636
New York,New York City,Juice Vitality,$,5,181,192 1st Ave,192 1st Ave New York City ,40.7296859,-73.9834768
New York,New York City,Teado Tea Shop,$,4.5,355,145D Hester St,145D Hester St New York City ,40.7172529,-73.9950257
New York,New York City,Yaya Tea Garden,$,4,489,51 Chrystie St,51 Chrystie St New York City ,40.7163583,-73.9950865
New York,New York City,Vivi Bubble Tea,$,4,640,49 Bayard St,49 Bayard St New York City ,40.7151669,-73.997488
New York,New York City,Ten Ren's Tea Time,$,4,643,73 Mott St,73 Mott St New York City ,40.7163758,-73.9982038
New York,New York City,Tiger Sugar,$,4,345,197 Canal St,197 Canal St New York City ,40.7171318,-73.9982178
New York,New York City,Sashimi Ramen Express,$,4.5,313,341 E 78th St,341 E 78th St New York City ,40.7722294,-73.9540545
New York,New York City,Kung Fu Tea,$,4,388,73 Chrystie St,73 Chrystie St New York City ,40.7171001,-73.9945616
New York,New York City,Kung Fu Tea,$,4.5,244,28 St Marks Pl,28 St Marks Pl New York City ,40.7288288,-73.9885836
New York,New York City,Cream Coffee & Tea Shop,$$,4.5,178,7210 B 3rd Ave,7210 B 3rd Ave New York City ,40.7286787,-73.9907046
New York,New York City,PaTea,$,4,230,227 E 14th St,227 E 14th St New York City ,40.7330263,-73.9859184
New York,New York City,Hanco's,$,4,523,350 7th Ave,350 7th Ave New York City ,40.7482132,-73.9929658
New York,New York City,Banh Mi Place,$,4,255,824B Washington Ave,824B Washington Ave New York City ,40.6732812,-73.9631445
New York,New York City,CoCo Fresh Tea & Juice,$,4,418,129 E 45th St,129 E 45th St New York City ,40.7533859,-73.9742848
New York,New York City,Yaya Tea Garden,$,4,263,206 Grand St,206 Grand St New York City ,40.7191263,-73.9963099
New York,New York City,Bread & Joe,$,4.5,97,618 4th Ave,618 4th Ave New York City ,40.664853,-73.993832
New York,New York City,Hawa Smoothies & Bubble Tea,$,4.5,114,422 E 14th St,422 E 14th St New York City ,40.7306377,-73.9816026
New York,New York City,Gong Cha,$,4,416,75 W 38th St,75 W 38th St New York City ,40.7523195,-73.9856369
New York,New York City,Banhmigos,$,4,281,178 Lincoln Pl,178 Lincoln Pl New York City ,40.6755182,-73.9743366
New York,New York City,Debutea,$,4,190,217 Thompson St,217 Thompson St New York City ,40.729175,-73.9993244
New York,New York City,Taiwan Bear House,$$,4,302,11 Pell St,11 Pell St New York City ,40.7147104,-73.9978094
New York,New York City,Kung Fu Tea,$,4.5,204,31 Waverly Pl,31 Waverly Pl New York City ,40.7306862,-73.9952857
New York,New York City,Bubbly Tea,$,4,289,55 Bayard St,55 Bayard St New York City ,40.7151477,-73.9979087
New York,New York City,Mee Cafe,$,4.5,84,26 Rutgers St,26 Rutgers St New York City ,40.7130669,-73.9902285
New York,New York City,Vivi Bubble Tea,$,4,274,205 Allen St,205 Allen St New York City ,40.7227487,-73.9890753
New York,New York City,Sashimi Express II,$,4.5,91,223 E 74th St,223 E 74th St New York City ,40.7707353,-73.9584651
New York,New York City,The Teapsy New York,$$,4.5,159,33-17 30th Ave,33-17 30th Ave New York City ,40.766051,-73.918986
New York,New York City,Juicy Cube,$$,4,212,674 Lexington Ave,674 Lexington Ave New York City ,40.760182,-73.969887
New York,New York City,MomenTea,$$,4,151,64 7th Ave,64 7th Ave New York City ,40.7388673,-73.9997225
New York,New York City,INFINITEA NY,$,4.5,114,2309 Astoria Blvd,2309 Astoria Blvd New York City ,40.7717804,-73.9238347
New York,New York City,Lotus Vietnamese Sandwiches,$,4,246,229 5th Ave,229 5th Ave New York City ,40.7438847,-73.9875231
New York,New York City,Mi Tea,$,4.5,63,101 MacDougal St,101 MacDougal St New York City ,40.7296731,-74.0009312
New York,New York City,Ajisen Ramen,$$,3.5,420,136 W 28th St,136 W 28th St New York City ,40.7466253,-73.992214
New York,New York City,Surreal Creamery,,4.5,106,538 2nd Ave,538 2nd Ave New York City ,40.7420059,-73.9775525
New York,New York City,Minus Celsius Ice Cream,$,4,150,302 Grand St,302 Grand St New York City ,40.7176793,-73.9915836
New York,New York City,I Milky 沐白,$,4.5,103,992 6th Ave,992 6th Ave New York City ,40.7514345,-73.9862274
New York,New York City,Shiny Tea,$,4.5,122,2667 Broadway,2667 Broadway New York City ,40.7983067,-73.9694954
New York,New York City,ViVi Bubble Tea,$,3.5,289,607 9th Ave,607 9th Ave New York City ,40.759368,-73.99235
New York,New York City,Meet Fresh,$$,3.5,482,37 Cooper Sq,37 Cooper Sq New York City ,40.7280848,-73.990648
New York,New York City,Hawa Smoothies & Bubble Tea,$,4.5,76,44 Willoughby St,44 Willoughby St New York City ,40.6920952,-73.9870662
New York,New York City,Cheesecake Diva,$$,4.5,82,7309 3rd Ave,7309 3rd Ave New York City ,40.761263,-73.9668152
New York,New York City,Hanco's,$,3.5,301,147 Montague St,147 Montague St New York City ,40.6947874,-73.9933981
New York,New York City,Cool Fresh Juice Bar,$,4.5,101,2661 A Broadway,2661 A Broadway New York City ,40.7981289,-73.9696649
New York,New York City,Kung Fu Tea,$,3.5,313,234 Canal St,234 Canal St New York City ,40.717725,-73.9998831
New York,New York City,Initial Tea,$,5,47,467 Dekalb Ave,467 Dekalb Ave New York City ,40.6907007,-73.9584584
New York,New York City,Kung Fu Tea,$,4,110,40 Hoyt St,40 Hoyt St New York City ,40.6894508,-73.9859812
New York,New York City,CoCo Fresh Tea & Juice,$,3.5,247,38 Lexington Ave,38 Lexington Ave New York City ,40.7401626,-73.9845333
New York,New York City,Teazzi Tea Shop,,4,114,47 W 14th St,47 W 14th St New York City ,40.7372546,-73.9957205
New York,New York City,Squarrel Cafe,$,4.5,49,572 Atlantic Ave,572 Atlantic Ave New York City ,40.6844229,-73.9789175
